Assessment ID,Extracted use,Persistence Tag,Perfluoro Tag
EX121,The notified polymer is a cold flow additive for use in diesel fuels. It improves the operability of diesel engines in cold weather by modifying the shape of the precipitating wax crystals in diesel fuel.  The notified polymer is a gel at ambient temperature and as such it is distributed with additional solvents to improve its flow characteristics.,,
EX122, The notified polymer will be used as a paraffin dispersing agent in diesel fuels.,,
EX123,The notified polymer will be used as a cold flow improver for the petroleum industry.,,
EX124,The notified polymer is a cold flow additive for use in diesel fuels. It improves the operability of diesel engines in cold weather by modifying the shape of the precipitating wax crystals in diesel fuel.  The notified polymer is a gel at ambient temperature and as such it is distributed with additional solvents to improve its flow characteristics.,,
EX125,"The notified polymer will be used as an active component (<40%) of a wetting and dispersing additive, DISPERBYK-168, used in industrial coatings (majority) and printing inks. Concentrations of the notified polymer are likely to be <25% in finished coating products and <5% in finished printing inks. The coating product will be used in industrial applications including timber furniture, paper, plastics, and metals. Inks are for use in printing industrial materials such as labels and advertising materials.",,
EX126,The notified polymer functions as a lubricant additive component and is used together with other components to formulate engine oil. It is present at concentrations at < 10% in engine oil.,,
EX127,The notified chemical is an anti-wear additive for use in transmission fluids at a concentration of < 1%.,,
EX128,The notified polymer is used as a UV/EB (Ultraviolet/Electron Beam) curable resin for coatings and printing inks and varnishes.,,
EX129,The notified chemical is a component of a flavour mixture used in a cosmetic mouthwash.,,
EX13,"C.I. Pigment Yellow 194 will not be manufactured in Australia.  The notified chemical is a pigment which will be imported and reformulated into powder coating products and liquid paint.  Approximately 60% of the pigment will be used in powder coating products, where it will be at a final concentration of less than 8%.  The powder coating preparations will be used for industrial coating of steel sheets and will not be available for public use.  The remaining 40% of the imported pigment will be used in liquid paints (at concentrations of up to 10%), which will be available for both industrial and public use.",,
EX130,The notified chemical will be used as a surfactant component of skin cleansers at concentrations from 2-5% and typically at 2.6%.,,
EX131, Pour point depressant for use in industrial and automotive lubricants and transmission oil for industrial and mining machines. The notified polymer is combined with other additives to form the final transmission fluid or lubricant. The blended products containing the notified polymer (up to 0.2%) are used in auto manufacturing plants to fill new car parts or in auto or machinery workshops if these oils/fluids require changing. Transfer may be manual or semi-automatic using pumping equipment.,,
EX132,"The notified chemical is a component for formulation into water-based surface coatings, primarily in surface primers. It functions as an adhesion promoter and bifunctional cross-linker, and will be dispersed in coating formulations at 0.5-5% of total resin solids (typical concentration: 1-2%). It will be consumed during the curing",,
EX133,"The notified polymer is used as a colourant in household soaps and detergents. The notified polymer is present in the consumer products at up to 0.1%, typically the notified polymer would be present at 0.0005�0.01%.",,
EX134,"The notified chemical is an additive in inks used for industrial applications, for example, printing outdoor advertising signs.",,
EX135, Pour point depressant for use in industrial and automotive lubricants and transmission oil for industrial and mining machines. The notified polymer is combined with other additives to form the final transmission fluid or lubricant. The blended products containing the notified polymer (up to 0.2%) are used in auto manufacturing plants to fill new car parts or in auto or machinery workshops if these oils/fluids require changing. Transfer may be manual or semi-automatic using pumping equipment.,,
EX136, Pour point depressant for use in industrial and automotive lubricants and transmission oil for industrial and mining machines. The notified polymer is combined with other additives to form the final transmission fluid or lubricant. The blended products containing the notified polymer (up to 0.2%) are used in auto manufacturing plants to fill new car parts or in auto or machinery workshops if these oils/fluids require changing. Transfer may be manual or semi-automatic using pumping equipment.,,
EX137, Pour point depressant for use in industrial and automotive lubricants and transmission oil for industrial and mining machines. The notified polymer is combined with other additives to form the final transmission fluid or lubricant. The blended products containing the notified polymer (up to 0.2%) are used in auto manufacturing plants to fill new car parts or in auto or machinery workshops if these oils/fluids require changing. Transfer may be manual or semi-automatic using pumping equipment.,,
EX138,"Specific uses have not been identified and the notifier has based this info on overseas uses. The notified chemical is intended for use as an excipient in personal care skin products such as creams, body washes, moisturisers and makeup, typically at concentrations between 1 and 15%.",,
EX139," The notified polymer will be used as a component in 2-pack coating products for automotive refinish, wood and concrete sealer applications. The applied coatings will contain up to 16% notified polymer.",,
EX140,"Stabiliser for inhibiting early polymerisation in UV curable inks and overprint varnishes and, therefore, helping to preserve shelf-life stability. The notified chemical is designed as a higher performance less hazardous alternative to existing substances.",,
EX141,The notified polymer is used as a viscosity modifier in automatic transmission fluids for vehicles (lubricant additive) at < 2%.,,
EX142, The notified polymer will be used as a lubricant component in engine oil at < 7% w/w.  Extension Application The notified polymer will be imported as part of an additive package present in finished engine oils at < 7% w/w.,,
EX143,The notified polymer will be used as a lubricant component in engine oil at < 7% w/w.,,
EX144,The notified polymer is part of an additive package present in finished engine oils at < 7% w/w.,,
EX145,The notified polymer is used as a viscosity modifier in automatic transmission fluids for vehicles (lubricant additive) at < 2%.,,
EX146,The notified polymer is used as a viscosity modifier in automatic transmission fluids for vehicles (lubricant additive) at < 2%.,,
EX147,"The notified chemical is a friction modifier for use in the lubricant additive industry, primarily as automatic transmission fluids (ATF).",,
EX148,The notified chemical is a lubricant additive for use in automotive transmission fluids at concentration 0.1 to 2.5%.,,
EX149,The notified chemical is a lubricant additive for use in automotive transmission fluids at concentration 0.1 to 2.5%.,,
EX15," The notified polymer in Lubritan SP will be used as a waterproofing, retanning and liquoring agent for leather.  Lubritan SP will be used at one customer site.",,
EX150,"The notified chemical is a friction modifier for use in the lubricant additive industry, primarily as automatic transmission fluids (ATF).",,
EX151,The notified chemical is a lubricant additive for use in automotive transmission fluids at concentration 0.1 to 2.5%,,
EX152,"The notified chemical is a friction modifier for use in the lubricant additive industry, primarily as automatic transmission fluids (ATF).",,
EX153,The notified chemical is a lubricant additive for use in automotive transmission fluids at concentration 0.1 to 2.5%.,,
EX154,"The notified chemical is a friction modifier for use in the lubricant additive industry, primarily as automatic transmission fluids (ATF).",,
EX155,The notified polymer is used as a viscosity modifier in automatic transmission fluids for vehicles (lubricant additive) at < 2%.,,
EX156, The notified polymer will be used as a lubricant component in engine oil at < 7% w/w.,,
EX157,The notified chemical will be used as an additive in finished diesel fuels.,,
EX158, The notified polymer will be used as a lubricant component in engine oil at < 7% w/w.,,
EX159,"It is anticipated that approximately 90% of the imported volume of the notified polymer will be used as a polymeric dispersant (< 30%) in industrial coatings. The remaining 10% of the imported volume of the notified polymer will be used as a dispersant in polyols (< 20%) used in polyurethane foams, PVC and unsaturated polyester composite applications.",,
EX16,"The notified chemical will not be manufactured in Australia.  LR-147 will be imported as a component (less than 1%) of a fully formulated toner product ready for use in photocopying, printing and facsimile equipment.  Less than one tonne of the notified chemical will be imported per annum for the first five years.",,
EX160,"The notified polymer will be used as a wetting agent in household care products at concentrations of < 0.5% (50% of the import volume) including dishwashing detergents, hard-surface cleaners and carpet cleaners, and as a wetting and levelling agent in water-based surface coatings at concentrations of < 3% (50% of the import volume) for application onto metal, glass, wood and plastic substrates.",,
EX161,"The notified polymer will be used for industrial purposes only as a viscosity index improver in aviation hydraulic fluids.
During end use, the finished product containing the notified polymer will be transferred from the import containers to the aircraft hydraulic system reservoir. From 0.95L cans, oil may be withdrawn by piercing the can, or by using a special dispensing unit. From 3.8L cans, the cap would be opened and then the oil pumped through a hose to the fill connection of the aircraft hydraulic system reservoir. For some aircraft, oil may be poured into an auxiliary reservoir and then later transferred by a pump and hard piping to the main reservoir. Alternatively, 18.9L cans or drums may be transferred to a dispensing unit or hydraulic cart that will be used to fill the main reservoir through a hose connection.
Any oil drainage from the system will be through hosing into a dedicated waste container.
Maintenance operations such as repair or replacement of hydraulic parts would involve isolation of the part from the oil flow, and then drainage of the oil either locally or through a hose connection.",,
EX162,"The notified chemical will be used as an additive in finished diesel fuels. The notified chemical will be imported at a concentration of < 50 wt % in a new fuel additive package.  The notified chemical will be blended with diesel fuels and other additives within Australia to form finished fuels where it will be present at a concentration of < 500ppm.  Extension Application The use of the notified chemical will be same as that for the original assessment certificate. However, no reformulation will take place in Australia.",,
EX163,Scale inhibitor used in oil and gas production,,
EX164, The notified polymer will be used as an additive in diesel fuels and lubricants.,,
EX165,"The major applications for the notified chemical will use it as a plasticiser and impact modifier in food packaging, but also in general applications such as wire and cable, automotive, plastisols and other similar applications. The food contact applications can be grouped by the functions of the notified chemical, which are as a PVC plasticiser and as an impact modifier in polystyrene. The plasticiser is used in PVC cling films for fresh meat packaging, for aqueous food and fruits and vegetables, artificial corks, sealing gaskets for beverage containers, flexible tubes for beverages, alcoholic and non-alcoholic, conveyor belts for fatty and other foods, and as a polystyrene food packaging impact modifier.","It is anticipated that the notified chemical would display similar half-lives in each of the environmental compartments, and potentially be persistent in some soils and sediments due to it being not readily biodegradable.",
EX166,The notified chemical will be used as an additive in finished diesel fuels.,,
EX167,"The notified polymer will be used as a component (<30%) of industrial coatings, adhesives and inks.",,
EX168, The notified polymer functions as a lubricant additive component and is used together with other components to formulate engine oil.  It is present at concentrations at < 10% in engine oil.,,
EX169, The notified polymer will be used as a component of UV curable ink.,,
EX17,NE-8963H will not be manufactured in Australia.  NE-8963H will be imported as a component of a formulated toner product ready for use in photocopying machines.,,
EX170,"The major applications for the notified chemical will use it as a plasticiser and impact modifier in food packaging, but also in general applications such as wire and cable, automotive, plastisols and other similar applications. The food contact applications can be grouped by the functions of the notified chemical, which are as a PVC plasticiser and as an impact modifier in polystyrene. The plasticiser is used in PVC cling films for fresh meat packaging, for aqueous food and fruits and vegetables, artificial corks, sealing gaskets for beverage containers, flexible tubes for beverages, alcoholic and non-alcoholic, conveyor belts for fatty and other foods, and as a polystyrene food packaging impact modifier.","It is anticipated that the notified chemical would display similar half-lives in each of the environmental compartments, and potentially be persistent in some soils and sediments due to it being not readily biodegradable.",
EX171,"The notified chemical will be used as a preservative for water-based coatings at < 0.1% concentration. Such coatings may be used for wood, furniture, automotive applications, etc. Approximately 80% of the import volume of the notified chemical will be used for industrial applications, with the remaining 20% used by tradesmen and do-it-yourself (DIY) users.",,
EX172," Rheology modifier in water-borne paints, floor coatings and pigment concentrates at less than 2 % concentration.",,
EX173,The notified chemical will be used as an additive in finished diesel fuels.,,
EX174,Polymeric dispersant at less than 5% in solvent based automotive and industrial paints.,,
EX175," The notified polymer, in the form of silica-coated �microspheres�, will be used at up to 20% concentration in a range of cosmetic products to improve the anti-caking and skin feel� of cosmetic products. These microspheres induce light scattering and imparts a soft-focus� effect to applied cosmetics, and absorb limited amounts of oil from the skin surface.",,
EX177,The notified polymer will be used as a component of automobile putties at a concentration of < 1%.,,
EX178,The notified chemical will be used as an anionic surfactant component of personal care products and hard surface cleaning products at concentrations up to 14%.,,
EX18,NE-8963H will not be manufactured in Australia.  NE-8963H will be imported as a component of a formulated toner product ready for use in photocopying machines.,,
EX180,The notified chemical will be used as an additive in finished diesel fuels.,,
EX181,The notified polymer will be used as a dispersant for auto dishwashing tablets and liquid and powder laundry products at a concentration up to 3%.,,
EX182,"Refrigerant for commercial air conditioning (excluding cars) and refrigeration systems (35% total import volume);
� Blowing agent for polyurethane or polystyrene closed cell foam (25% total import volume);
� Aerosols for �down�hole� bag inflation, used in conjunction with explosives in mining applications (25% total import volume);
� Aerosol cans for specialised industrial use or consumer use (15% total import volume).","In the atmosphere, the notified chemical may undergo long range transport but is not expected to be a significant contributor to global warming or ozone depletion. The notified chemical is a potential precursor of TFA, a persistent degradant that will rainout into the aquatic compartment. TFA is ubiquitous in the environment and is generally of low hazard to the environment. The introduction and use of the notified chemical is not expected to significantly increase background concentrations of TFA in the aquatic compartment from natural and anthropogenic sources.",
EX183,The notified polymer is used as a diesel fuel detergent at < 0.1%.,,
EX184," The notified polymer will be imported either in the final product at a concentration of < 1%, or in Infineum V351 at a concentration of > 50%. Reformulation of Infineum V351 into the final product will occur in Australia. The notified polymer will be used as a lubricating oil additive, predominately for industrial applications.",,
EX185,The notified polymer will be used as a dispersant in diesel engine oil at concentrations of < 1.2%,,
EX186,Original Application: The notified polymer will be used as a component of automobile putties at a concentration of < 1%.,,
EX187,The notified chemical will be used as an aerosol propellant in anti-barking citronella collars and citronella remote trainers for dogs at > 85%.,"In the atmosphere, the notified chemical may undergo long range transport but is not expected to be a significant contributor to global warming or ozone depletion. The notified chemical is a potential precursor of TFA, a persistent degradant that will rainout into the aquatic compartment. TFA is ubiquitous in the environment and is generally of low hazard to the environment. The introduction and use of the notified chemical is not expected to significantly increase background concentrations of TFA in the aquatic compartment from natural and anthropogenic sources.",
EX188,  The notified polymer will not be manufactured in Australia.  The notified polymer will most likely be imported into Australia at a concentration of 2.5-5% in ink products.  Products containing the notified polymer may also be reformulated at a concentration of 2.5-5% in Australia. The applications are primarily commercial but consumer applications are possible.,,
EX189,"The notified polymer will not be manufactured in Australia. The notified polymer will be imported into Australia at a concentration of < 70% and reformulated into paint products containing the notified polymer at < 30%. Finished industrial paint products containing the notified polymer at < 30% concentration will be applied by spray to cranes, harvesters, tractors, truck bodies and other large machinery in ventilated spray booths.",,
EX190,"The notified polymer is intended to be introduced in order to phase out the use of a partially fluorinated polymer containing fluorinated carbon chain lengths > 6 in various proportions (i.e., existing polymer). The use categories of the notified polymer are identical to those of the existing polymer it replaces, as outlined below.

The notified polymer will be used in stone and tile sealants by professionals and consumers (up to 3 wt% concentration).","DuPont (2003). Hexanoic acid, undecafluro-: (Biopersistence) Screening-10-Dose Oral Gavage Study in Rats (Study No. 11560, April 2003). Delaware, USA. E.I. du Pont de Nemours and Company (Unpublished report submitted by the notifier).",
EX192,"The notified chemical is intended to be introduced in order to phase out the use of a partially fluorinated polymer containing fluorinated carbon chain lengths > 6 in various proportions (i.e., existing chemical). The use categories of the notified chemical are identical to those of the existing polymer it replaces, as outlined below.
The notified chemical will be used as a dirt and soil repellent in paints and coatings (up to 0.1% concentration), stone and tile products (up to 4% concentration) and commercial floor finishes (up to 0.02% concentration). Paints and coatings and stone and tile products are expected to be used by professional and domestic users. Commercial floor finishes are intended for use only by professionals.","DuPont (2010a) [Notified Chemical]: Preliminary Biopersistence and Pharmacokinetic Screen in the Rat (Study No. 18076-415 Revision 1, April, 2010). Delaware, USA, DuPont Haskell Global Centers for Health & Environmental Sciences (Unpublished report submitted by the notifier).","Woodcroft M, Ellis D, Rafferty S, Burns D, March R, Stock N, Trumpour K, Yee J and Munro K (2010) 
Experimental Characterization of the Mechanism of Perfluorocarboxylic Acids’ Liver Protein 
Bioaccumulation: The Key Role of the Neutral Species. Environmental Toxicology and Chemisty, 
29(8):1669-77."
EX194,"The notified polymers are intended to be introduced in order to phase out the use of partially fluorinated polymers containing fluorinated carbon chain lengths > 6 in various proportions (i.e., existing polymers). The use categories of the notified polymers are identical to those of the existing polymers they replace, as outlined below.
The notified polymers will be used in end-use products as oil and water repellents and stain release agents. Proposed uses for the products containing the notified polymers include: concrete, stone and tile sealers (up to 5% concentration); stain repellent for treatment of existing textile and fibre products (up to 10% concentration); factory applied stain repellent for textile and fibre products (up to 2% concentration); and coatings and paint (up to 5% concentration).","DuPont (2003). Hexanoic acid, undecafluro-: (Biopersistence) Screening-10-Dose Oral Gavage Study in Rats (Study No. 11560, April 2003). Delaware, USA. E.I. du Pont de Nemours and Company (Unpublished report submitted by the notifier).","Woodcroft M, Ellis D, Rafferty S, Burns D, March R, Stock N, Trumpour K, Yee J and Munro K (2010) 
Experimental Characterization of the Mechanism of Perfluorocarboxylic Acids’ Liver Protein 
Bioaccumulation: The Key Role of the Neutral Species. Environmental Toxicology and Chemisty, 
29(8):1669-77."
EX195," The notified polymer will be imported to Australia in drums as a component of a finished coating product at 10-15% concentration in water. The product has end-use in coatings, including interior and exterior wood finishes, exterior clear and pigmented stains for wood decks and furniture, coatings for hardwood floors including high traffic sports and commercial floors, and as a specialty primer for professional painters. The notified polymer is designed to cross-link with a polyurethane that cures as the film dries.",,
EX196,The notified polymer will be imported into Australia as a component of finished liquid laundry detergent at a concentration up to 2%. The laundry detergent will be imported in 5L plastic containers with dispensing caps. No manufacture or reformulation will take place in Australia.,,
EX197," The notified polymer will be used as a component of a two-part industrial coating system.  The notified polymer does not undergo any chemical change during the mixing of the two parts.  It is anticipated that the industrial coatings will be applied to metal and concrete surfaces, in both indoor and outdoor industrial applications.",,
EX199,The notified chemical will be imported as a component (< 25% concentration) in a finished inkjet ink formulation contained in 220 ml and 660 ml foil pouches which will be inserted into inkjet cartridges.,,
EX2,"The imported products will be used as basecoat and topcoat components, respectively, for application by rotary spray or roller to leather. The imported products are to be used as components of ""finishing mixes"" containing other ingredients such as water, pigments, waxes, wetting agents, fillers and pigment extenders. The finishing mixes are prepared at the sites where they will be used.",,
EX200,The notified polymer will be imported as a component of finished inkjet printing ink formulation at a concentration up to 10%. The ink is packed in foil pouches which will be inserted into cartridges and used in wide-format commercial printers.,,
EX201,The notified polymer will be used as a fuel additive at < 0.03%.,,
EX203,"The notified polymer will not be manufactured, reformulated or repackaged in Australia. The notified polymer will be imported into Australia in sealed toner containers. The notified polymer will be used as a component of a toner at up to 10% concentration in photocopier machines or printers.",,
EX204, The notified chemical will be used as a component of finished paints at < 1% concentration.,,
EX205, The notified chemical will be used as a component of engine oils at <1% concentration for automotive use.,,
EX206,The notified polymer will be used primarily as a skin conditioning and emulsifying ingredient in cosmetic products at < 10% concentration.,,
EX207, The notified chemical will be used as a component of engine lubricants at < 0.5% concentration in industrial applications.,,
EX208,The notified polymer will be used as a component of paints and coatings at ? 3% concentration for light industrial and automotive applications.,,
EX209,"The notified chemical is intended to be introduced in order to phase out the use of a partially fluorinated polymer containing fluorinated carbon chain lengths > 6 in various proportions (i.e., existing chemical). The use categories of the notified polymer are identical to those of the existing polymer it replaces, as outlined below.
The notified polymer will be used as a component of paints and coatings (up to 0.2% concentration), floor care and cleaning products (up to 0.02% concentration), stone and tile sealants (up to 0.03% concentration), and ink formulations (up to 1.5% concentration). Paints and coatings and stone and tile products are expected to be used by professional and domestic users. Floor care products and inks are intended only for commercial/industrial settings.","DuPont (2003). Hexanoic acid, undecafluro-: (Biopersistence) Screening-10-Dose Oral Gavage Study in Rats (Study No. 11560, April 2003). Delaware, USA. E.I. du Pont de Nemours and Company (Unpublished report submitted by the notifier).","Woodcroft M, Ellis D, Rafferty S, Burns D, March R, Stock N, Trumpour K, Yee J and Munro K (2010) 
Experimental Characterization of the Mechanism of Perfluorocarboxylic Acids’ Liver Protein 
Bioaccumulation: The Key Role of the Neutral Species. Environ Toxicol Chem, Early View. DOI: 
10.1002/etc.199."
EX210, The notified chemical will be used as a component of engine oils at ? 1% concentration for automotive use.,,
EX211,Cleaning products will contain the notified chemical at concentrations of < 0.1%. The products will not be used by the public.,"DuPont (2003). Hexanoic acid, undecafluro-: (Biopersistence) Screening-10-Dose Oral Gavage Study in Rats (Study No. 11560, April 2003). Delaware, USA. E.I. du Pont de Nemours and Company (Unpublished report submitted by the notifier).","Woodcroft M, Ellis D, Rafferty S, Burns D, March R, Stock N, Trumpour K, Yee J and Munro K (2010) 
Experimental Characterization of the Mechanism of Perfluorocarboxylic Acids’ Liver Protein 
Bioaccumulation: The Key Role of the Neutral Species. Environ Toxicol Chem, Early View. DOI: 
10.1002/etc.199."
EX212, The notified polymer is a cross-linking agent for both inorganic materials and organic polymers. Major fields of applications are expected to be in the cable and plastics industries.,,
EX213,Cleaning products will contain the notified chemical at concentrations of < 0.1%. The products will not be used by the public.,"DuPont (2003). Hexanoic acid, undecafluro-: (Biopersistence) Screening-10-Dose Oral Gavage Study in Rats (Study No. 11560, April 2003). Delaware, USA. E.I. du Pont de Nemours and Company (Unpublished report submitted by the notifier).","Woodcroft M, Ellis D, Rafferty S, Burns D, March R, Stock N, Trumpour K, Yee J and Munro K (2010) 
Experimental Characterization of the Mechanism of Perfluorocarboxylic Acids’ Liver Protein 
Bioaccumulation: The Key Role of the Neutral Species. Environ Toxicol Chem, Early View. DOI: 
10.1002/etc.199."
EX214," The notified polymer will not be manufactured in Australia. The notified polymer will be imported either as manufactured at 32-34% concentration or in end use products (interior and exterior wood finishes) at 6-34% concentration. If imported as manufactured, it will be reformulated into interior and exterior wood finishes. The wood finishes will be applied by brush, roller or spray and will be made available to the public.",,
EX215, The notified chemical will be used as a component of engine lubricants at < 0.5% concentration in industrial applications.,,
EX216, The notified polymer will be used as a component of industrial coatings at ? 80 % concentration. The coatings will be applied to a variety of substrates including metals.,,
EX217," The notified polymer will not be manufactured in Australia. It will be imported into Australia either as a component of an aqueous dispersion (at ? 35% concentration) for local reformulations into coatings or adhesives or as component of finished coatings (at ? 2% concentration) or adhesives (at ? 5% concentration). Finished coatings containing the notified polymer will be applied by brush, roller and airless spray and finished adhesives containing the notified polymer will be applied by brush or dispensed directly from a bottle. The finished products will be used primarily by professional workers and to a lesser extent by do-it-yourself (DIY) users.",,
EX218," The notified polymer will be used as a component in automotive lubricants for industrial, commercial and personal vehicles. The finished lubricants will contain the notified polymer at < 5% concentration.",,
EX219_LTD1933, The notified polymer will be used as a component of industrial paints and coatings at <1% concentration.   OPERATION DESCRIPTION The notified polymer will not be manufactured in Australia.,,
EX22,Minolta Business Equipment Australia Pty Ltd NE-8963H will not be manufactured in Australia.  NE-8963H will be imported as a component of a formulated toner product ready for use in photocopying machines.,,
EX220, The notified chemical will be used as a component of engine oils at < 1% concentration for automotive use.,,
EX221, The notified chemical will be used as a component of engine oils at < 1% concentration for automotive use.,,
EX222_LTD1933, The notified polymer will be used as a component of industrial paints and coatings at ? 1% concentration.,,
EX223_STD1584, The notified chemical will be used as a component of engine lubricants at < 0.5% concentration in industrial applications.,,
EX224,Cleaning products will contain the notified chemical at concentrations of < 0.1%. The products will not be used by the public.,"DuPont (2003). Hexanoic acid, undecafluro-: (Biopersistence) Screening-10-Dose Oral Gavage Study in Rats (Study No. 11560, April 2003). Delaware, USA. E.I. du Pont de Nemours and Company (Unpublished report submitted by the notifier).","Woodcroft M, Ellis D, Rafferty S, Burns D, March R, Stock N, Trumpour K, Yee J and Munro K (2010) 
Experimental Characterization of the Mechanism of Perfluorocarboxylic Acids’ Liver Protein 
Bioaccumulation: The Key Role of the Neutral Species. Environ Toxicol Chem, Early View. DOI: 
10.1002/etc.199."
EX227_STD1508," The notified chemical will be used as an emollient or skin conditioning ingredient and will be sold to industrial customers to be incorporated into cosmetic and personal care products. The notified chemical will also be imported as a component of finished cosmetic products. The concentration of the notified chemical in the cosmetic products will typically be ? 10%; however, anhydrous formulations may contain the notified chemical at concentration of ? 25%.",,
EX228_LTD, The notified chemical will be used at < 5% concentration in automatic dishwasher tablets.,,
EX229_STD1555, The notified chemical will be used as a component of engine oils at ? 1% concentration for automotive use.,,
EX23,"The notified chemical will not be manufactured in Australia.  LR-147 will be imported as a component (less than 1%) of a fully formulated toner product ready for use in photocopying, printing and facsimile equipment.  Less than one tonne of the notified chemical will be imported per annum for the first five years.",,
EX232_LTD2072," The notified chemical will be used as a component in leave on and rinse off cosmetic products at concentration <10 %, which may include aerosol sprays.",,
EX235, The notified chemical will be used at < 5% concentration in automatic dishwasher tablets.,,
EX236," The notified polymer will be used as a component in automotive lubricants for industrial, commercial and personal vehicles. The finished lubricants will contain the notified polymer at < 5% concentration.",,
EX24,"The notified chemical will not be manufactured in Australia. It will be imported for use as a solvent in formulations for cleaning products, paints and coatings, and industrial printing inks. Initial use in Australia will be as a component of a surface cleaning product. Import volumes are expected to be greater than 10 tonnes per year for each of the first 5 years.",,
EX25,The notified chemical will be used in the formulation of hair dye products in the range from 0% (blonde shades) to a maximum of 4.5% (dark shades). The concentration of the notified chemical in the dye mixture depends on the colour being formulated as it produces a reddish-brown colouration when dissolved and subsequently oxidised with color developer at time of use.,,
EX28,The notified chemical will not be manufactured in Australia. It will be imported as a component (< 1%) of a toner for electrophotocopiers or electrophotographic printers in 350 g plastic bottles or toner cartridges at less than 1 tonne per year for the first five years for each applicant.,,
EX3,"The imported products will be used as topcoat components for application to leather. They are to be used as components of ""finishing mixes"" containing other ingredients such as water, pigments, waxes, wetting agents, fillers and pigment extenders. The finishing mixes are prepared at the sites where they will be used.",,
EX30,The notified chemical will be used in the formulation of hair dye products in the range from 0% (blonde shades) to a maximum of 4.5% (dark shades). The concentration of the notified chemical in the dye mixture depends on the colour being formulated as it produces a reddish-brown colouration when dissolved and subsequently oxidised with color developer at time of use.,,
EX31,"The notified polymer is used as a binder for aqueous basecoat in leather finishing. The treated leather will be used in furniture, automotive upholstery and sports shoes.",,
