Application ID,Updated Application ID No Dash,Final Verified S64(1),Final Verified S64(1) Flat,Final Verified S64(2),Final Verified S64(2) Flat,SIR Obligations
EX/132,EX132,The notified chemical is intended to be used in DIY coating products that are available to the public,The notified chemical is intended to be used in DIY coating products that are available to the public,"the function or use of the chemical has changed from a component of industrial coating products, or is likely to change significantly
the amount of chemical being introduced has increased from 5 tonnes, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the chemical has changed from a component of industrial coating products, or is likely to change significantly
the amount of chemical being introduced has increased from 5 tonnes, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/133,EX133,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/134,EX134,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from additive in inks for industrial applications, or is likely to change significantly
the amount of chemical being introduced has increased from 10 tonnes, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from additive in inks for industrial applications, or is likely to change significantly
the amount of chemical being introduced has increased from 10 tonnes, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
EX/135,EX135,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the notified polymer has changed from pour point depressant for use in industrial and automotive lubricants and transmission oil for industrial and mining machines, or is likely to change significantly
the amount of polymer being introduced is likely to increase, significantly
if the polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the polymer on occupational health and safety, public health, or the environment
","the function or use of the notified polymer has changed from pour point depressant for use in industrial and automotive lubricants and transmission oil for industrial and mining machines, or is likely to change significantly
the amount of polymer being introduced is likely to increase, significantly
if the polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the polymer on occupational health and safety, public health, or the environment
",
EX/136,EX136,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from pour point depressant for use in industrial and automotive lubricants and transmission oil for industrial and mining machines, or is likely to change significantly
the amount of chemical being introduced has increased to more than 30 tonnes per annum, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from pour point depressant for use in industrial and automotive lubricants and transmission oil for industrial and mining machines, or is likely to change significantly
the amount of chemical being introduced has increased to more than 30 tonnes per annum, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
EX/137,EX137,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from pour point depressant for use in industrial and automotive lubricants and transmission oil for industrial and mining machines, or is likely to change significantly
the amount of chemical being introduced has increased to more than 30 tonnes per annum, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from pour point depressant for use in industrial and automotive lubricants and transmission oil for industrial and mining machines, or is likely to change significantly
the amount of chemical being introduced has increased to more than 30 tonnes per annum, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
EX/138,EX138,"the importation volume exceeds 1 tonne per annum notified chemical
if the chemical is to be introduced at concentration >5% in cosmetic products. In the case that secondary notification is required, provision of toxicological data with regard to the dermal absorption and reproductive toxicity may be required","the importation volume exceeds 1 tonne per annum notified chemical
if the chemical is to be introduced at concentration >5% in cosmetic products. In the case that secondary notification is required, provision of toxicological data with regard to the dermal absorption and reproductive toxicity may be required","the use of the chemical has changed from a component of skin products for topical application or a conditioning ingredient in cosmetic products, or is likely to change significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.
if any regulatory action concerning the notified chemical occurs in other jurisdictions.","the use of the chemical has changed from a component of skin products for topical application or a conditioning ingredient in cosmetic products, or is likely to change significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.
if any regulatory action concerning the notified chemical occurs in other jurisdictions.",
EX/139,EX139,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from component of coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from component of coatings, or is likely to change significantly
the amount of notified polymer being introduced has increased, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/14,EX14,the importation volume exceeds 1 tonne per annum notified chemical,the importation volume exceeds 1 tonne per annum notified chemical,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/140,EX140,No Section 64(1) condition listed,No Section 64(1) condition listed,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/141,EX141,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from a viscosity modifier in automatic transmission fluids for vehicles (lubricant additive) at < 2%, or is likely to change significantly
the amount of chemical being introduced has increased from 3 tonnes per year, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from a viscosity modifier in automatic transmission fluids for vehicles (lubricant additive) at < 2%, or is likely to change significantly
the amount of chemical being introduced has increased from 3 tonnes per year, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
EX/142,EX142,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a lubricant component in engine oil at < 7% w/w, or is likely to change significantly
the amount of notified polymer being introduced has increased from 50 tonnes, or is likely to increase, significantly
if the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a lubricant component in engine oil at < 7% w/w, or is likely to change significantly
the amount of notified polymer being introduced has increased from 50 tonnes, or is likely to increase, significantly
if the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/143,EX143,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a lubricant component in engine oil at < 7% w/w, or is likely to change significantly
the amount of notified polymer being introduced has increased from 50 tonnes, or is likely to increase, significantly
if the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a lubricant component in engine oil at < 7% w/w, or is likely to change significantly
the amount of notified polymer being introduced has increased from 50 tonnes, or is likely to increase, significantly
if the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/144,EX144,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,the notified polymer is introduced in a chemical form that does not meet the PLC criteria,"the function or use of the notified polymer has changed from a lubricant component in engine oil at < 7% w/w, or is likely to change significantly
the amount of notified polymer being introduced has increased from 50 tonnes, or is likely to increase, significantly
if the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the notified polymer has changed from a lubricant component in engine oil at < 7% w/w, or is likely to change significantly
the amount of notified polymer being introduced has increased from 50 tonnes, or is likely to increase, significantly
if the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
EX/145,EX145,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from a viscosity modifier in automatic transmission fluids for vehicles (lubricant additive) at < 2%, or is likely to change significantly
the amount of chemical being introduced has increased from 3 tonnes per year, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from a viscosity modifier in automatic transmission fluids for vehicles (lubricant additive) at < 2%, or is likely to change significantly
the amount of chemical being introduced has increased from 3 tonnes per year, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
EX/146,EX146,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from a viscosity modifier in automatic transmission fluids for vehicles (lubricant additive) at < 2%, or is likely to change significantly
the amount of chemical being introduced has increased from 3 tonnes per year, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from a viscosity modifier in automatic transmission fluids for vehicles (lubricant additive) at < 2%, or is likely to change significantly
the amount of chemical being introduced has increased from 3 tonnes per year, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
EX/147,EX147,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from an additive in automatic transmission fluids, or is likely to change significantly
the amount of chemical being introduced has increased from up to 5 tonnes, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from an additive in automatic transmission fluids, or is likely to change significantly
the amount of chemical being introduced has increased from up to 5 tonnes, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
EX/148,EX148,"if the concentration of the notified chemical in consumer products has changed, or is likely to change significantly","if the concentration of the notified chemical in consumer products has changed, or is likely to change significantly",if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/149,EX149,"if the concentration of the notified chemical in consumer products has changed, or is likely to change significantly","if the concentration of the notified chemical in consumer products has changed, or is likely to change significantly",if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/15,EX15,No Section 64(1) condition listed,No Section 64(1) condition listed,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/150,EX150,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from an additive in automatic transmission fluids, or is likely to change significantly
the amount of chemical being introduced has increased from up to 5 tonnes, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.
","the function or use of the chemical has changed from an additive in automatic transmission fluids, or is likely to change significantly
the amount of chemical being introduced has increased from up to 5 tonnes, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.
",
EX/151,EX151,"if the concentration of the notified chemical in consumer products has changed, or is likely to change significantly","if the concentration of the notified chemical in consumer products has changed, or is likely to change significantly",if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
EX/152,EX152,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from an additive in automatic transmission fluids, or is likely to change significantly
the amount of chemical being introduced has increased from up to 5 tonnes, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.
","the function or use of the chemical has changed from an additive in automatic transmission fluids, or is likely to change significantly
the amount of chemical being introduced has increased from up to 5 tonnes, or is likely to increase, significantly
if the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.
",
